LifeExpectancyMen,AdultMortalityMen,Schooling,GDPCurrentUSD,Alcohol,BMI,HIV,Status,cluster
63.8,70.6,14.02,12520363927.3169,4.8759999999999994,56.52,0.1,FALSE,3
73.4,75,20.02,1428073963441.7458,10.086,64.98,0.1,TRUE,2
59,85,11.7,52909294791.9262,1.98,48,0.1,FALSE,3
71.4,80.4,15.6,67804108263.044235,15.34,49.7,0.1,FALSE,2
69.2,67.2,12.6,1930630000,6.64,39.54,0.24000000000000002,FALSE,3
69.8,71.2,12.14,1938554628.12195,0.10800000000000001,18.32,0.54,FALSE,3
74,88.5,13.925,18152202906.948776,4.35,54.475,0.1,FALSE,2
67.8,68.4,12.48,14279441795.08026,2.356,36.24,4.24,FALSE,3
66,73,14.28,2443817007028.97,7.442,53.64,0.1,FALSE,2
64.2,73.4,14.32,55159202408.24082,11.31,63.9,0.1,TRUE,2
55.8,65.8,15.9,1778276755891.46,8.24,65.26,0.1,FALSE,2
66.8,69,13.18,351098074683.5962,4.376,55.7,0.1,FALSE,3
64.6,81,14.66,59780397070.4961,12.062,51.08,0.1,TRUE,2
68.5,91.75,11.225,4599085177.75014,2.5375,17.1,14.2,FALSE,1
67,76,13.4,16056053144.5321,7.026,53.62,0.1,FALSE,2
66.75,68,10.575,47535740113.073524,2.0625,48.25,0.4,FALSE,3
70,76.2,15.46,135930010557.34041,8.89,62.980000000000004,0.1,TRUE,2
77.2,78.8,18.74,15543403134.083761,7.79,38.14,0.1,TRUE,2
70.6,77.4,11.120000000000001,1844430585313.204,3.01,16.98,0.2,FALSE,3
66.6,73.6,12.780000000000001,14127144172.04368,3.68,42.980000000000004,0.54,FALSE,3
70.4,79,13.08,31918919746.47888,0.432,63.22,0.1,FALSE,3
74.4,72.6,10.96,2420008412.77104,1.026,20.02,10.38,FALSE,1
61.8,70.2,10.58,9476513448.780228,0.468,18.4,8.92,FALSE,3
76.2,90,12.92,305750937078.841,0.516,37.4,0.1,FALSE,1
79.5,81,11.7,2681263147.36834,1.875,22.6,0.1,FALSE,1
61.666666666666664,83.33333333333333,14.133333333333333,11063593505.702267,1.9966666666666666,22.266666666666666,0.13333333333333333,FALSE,3
84,98,10,23210823987.308,0.01,47.9,0.7,FALSE,1
70.2,61.8,13.38,182780236874.0464,4.016,53.56,0.14,FALSE,3
73.4,72,11.58,257178509669.1272,4.792,23.7,0.1,FALSE,3
68.6,86,15.24,186265315020.0126,7.4559999999999995,58.42,0.1,TRUE,2
72.8,80,14.3,2026168938148.3281,10.756,58.7,0.22,FALSE,2
55.5,84.25,9.475,1217648446.4533625,0.255,48.475,0.1,FALSE,3
75.4,75.6,13.72,71273155179.65115,2.614,17.62,0.1,FALSE,1
71.6,85.4,15.68,686786424571.1868,9.84,56.2,0.1,TRUE,2
68,71.2,13.459999999999999,387430905204.3138,6.298,24.74,0.14,FALSE,3
65.5,52.5,14.3,446393112.4393575,0.01,74.55,0.1,FALSE,3
73.6,86.4,15.06,163427488555.6974,8.362,37.98,0.2,FALSE,2
72.2,71.2,15.52,53871768509.10092,5.96,62.32,0.1,FALSE,2
65.6,70.8,12.22,24881279640.0511,2.01,18.14,5.56,FALSE,3
