"","Country","Year","Status","Life.expectancy..men.","Life.expectancy.women.","Adult.Mortality..men.","Adult.Mortality..women.","Infant.deaths","Alcohol","Percentage.expenditure","Hepatitis.B.men.","Hepatitis.B.women.","Measles","BMI","Under.five.deaths","Polio","Total.expenditure","Diphtheria","HIV.AIDS","GDP","Population","thinness..1.19.years","thinness.5.9.years","Income.composition.of.resources","Schooling","country_id","Inflation..CPI...","GDP..Current.USD.","Unemployment.Rate....","Interest.Rate..Real....","Inflation..GDP.Deflator....","GDP.Growth....Annual.","Current.Account.Balance....GDP.","Government.Expense....of.GDP.","Government.Revenue....of.GDP.","Tax.Revenue....of.GDP.","Gross.National.Income..USD.","Public.Debt....of.GDP.","above_below_average"
"1","albania",2015,FALSE,78,66,97,68,0,4.6,364.9752287,59,29,0,58,0,99,6,99,0.1,3954.22783,28873,1.2,1.3,0.762,14.2,"al",3.50120835492657,11386853113.0189,17.193,7.27249242163997,0.563991350160876,2.21872637517804,-8.60488046763521,24.4461757489854,24.738150200759,18.5157898553099,11521811393.6203,79.8644181475793,FALSE
"2","albania",2014,FALSE,53,52,65,98,0,4.51,428.7490668,25,33,0,57.2,1,98,5.88,98,0.1,4575.763787,288914,1.2,1.3,0.761,14.2,"al",1.62586504402604,13228147516.1168,18.055,6.32455753333484,1.54991706986272,1.77444885260394,-10.7753990397848,24.3826654387392,24.5250980968319,18.3019361358269,13349419700.4171,73.3202274771466,FALSE
"3","albania",2013,FALSE,55,79,66,96,0,4.76,430.8769785,34,25,0,56.5,1,99,5.66,99,0.1,4414.72314,289592,1.3,1.4,0.759,14.2,"al",1.93762080205223,12776224496.9718,15.866,9.51039749125922,0.288745964127756,1.00201754071108,-9.27418778932724,24.1607729474324,22.3049495093896,16.5032706123389,12996543353.0861,70.5807697920008,FALSE
"4","albania",2012,FALSE,54,77,69,54,0,5.14,412.4433563,32,71,9,55.8,1,99,5.59,99,0.1,4247.61438,2941,1.3,1.4,0.752,14.2,"al",2.03159268395296,12319834195.331,13.376,9.73611207346728,1.04271460643407,1.4172427999078,-10.2001762330966,23.007590723666,23.0507101156878,17.4832335567459,12228069196.1144,63.6691526405469,FALSE
"5","albania",2011,FALSE,79,64,56,79,0,5.37,437.0621,66,35,28,55.1,1,99,5.71,99,0.1,4437.17868,295195,1.4,1.5,0.738,13.3,"al",3.42807130141503,12890760315.146,13.481,9.88846223555399,2.31474379699794,2.54540614450104,-12.9331014515688,23.0111069763437,23.9003193851567,18.0220132797796,12894099798.9481,69.6376739165201,FALSE
"6","australia",2014,TRUE,73,82,72,85,1,9.71,10769.36305,35,29,340,66.1,1,92,9.42,92,0.1,62214.6912,2346694,0.6,0.6,0.936,20.4,"au",2.48792270531404,1468265356427.76,6.078,4.4816194821113,1.40539601622476,2.59528411594042,-3.09266163288854,26.2576336510283,24.3633439690171,21.897878678174,1429834007640,41.7223304965257,TRUE
"7","australia",2013,TRUE,64,65,53,55,1,9.87,11734.85381,65,64,158,65.5,1,91,9.36,91,0.1,67792.3386,23117353,0.6,0.6,0.933,20.3,"au",2.4498886414254,1577123329410.88,5.663,6.35316102456067,-0.163600551424906,2.60219339436559,-3.25799888383101,25.8800823016892,24.4530730105492,21.9443416287694,1537801711446.54,37.5600008066242,TRUE
"8","australia",2012,TRUE,65,72,62,84,1,10.03,11714.99858,31,21,199,65,1,92,9.36,92,0.1,67677.63477,22728254,0.6,0.6,0.93,20.1,"au",1.76278015613196,1547532281116.4,5.225,5.07761464495177,1.8056989221342,3.91670942454073,-4.44404469042498,26.1190161107402,23.4348034100556,21.0990859163958,1500404222891.8,39.441661369273,TRUE
"9","australia",2011,TRUE,82,68,88,88,1,10.3,10986.26527,58,37,190,64.4,1,92,9.2,92,0.1,62245.129,223424,0.6,0.6,0.927,19.8,"au",3.3038501560874,1398610616772.97,5.083,1.44585192040902,6.20197668065047,2.40708018291988,-3.26400930085158,25.9965923165691,22.7076209026202,20.3225244773041,1342423020459.19,30.0953996273683,TRUE
"10","australia",2010,TRUE,83,72,100,89,1,10.52,8875.786493,24,53,70,63.9,1,92,9.2,92,0.1,51874.848,223175,0.7,0.6,0.927,19.5,"au",2.91834002677376,1148838233480.72,5.214,6.05552716660896,1.15377249328591,2.21998026536549,-4.00506862277956,26.7049854253781,23.2984646429333,20.4779954643102,1104203146194.09,28.6633975352712,TRUE
"11","azerbaijan",2010,FALSE,59,79,85,61,5,1.98,246.5686008,37,27,0,48,6,85,5.33,81,0.1,5842.85784,954332,2.8,2.9,0.737,11.7,"az",5.72687224669605,52909294791.9262,5.63,6.30070170030242,13.5458167908374,5.04894451349574,28.4268313519369,20.8724832214765,46.8289179324149,12.1577769928176,49741091452.7785,6.38557579182856,FALSE
"12","belarus",2014,FALSE,62,77,72,89,0,13.94,1147.1114,31,52,64,61.7,0,97,5.69,97,0.1,8318.429294,9474511,1.9,2,0.796,15.7,"by",18.1195543526734,78812805039.0743,5.902,0.46489041631188,18.1922024446735,1.65112468524535,-6.63305918043161,27.4104920512789,27.9219799575572,12.6977670733069,76448782777.9462,24.5488085208305,FALSE
"13","belarus",2013,FALSE,77,68,100,77,0,14.66,1109.854619,53,35,16,61.1,1,98,6.7,98,0.1,7978.825443,9465997,2,2,0.796,15.7,"by",18.3122610377874,75527558966.4473,5.937,-1.75623802459026,21.263000253545,0.998719278658683,-10.0192566839897,28.2546964798114,28.7220108739005,13.3549628478795,72875339440.6563,23.8372955552391,FALSE
"14","belarus",2012,FALSE,84,79,83,78,0,16.35,91.70962117,60,40,10,6.5,1,98,5.1,98,0.1,694.243915,9464495,2,2.1,0.793,15.6,"by",59.2197360232517,65685890438.8922,5.946,-31.8132103218448,75.2416666493216,1.707852569854,-2.8350076212066,27.6224227639515,29.0395636217814,14.6629750334495,64215516438.9641,24.4293134230567,FALSE
